CustomerID,Count,AppID,FundedAppCount,TierName,Stage,StageDate,PaymentStatus,FundedDate,LastPaymentDate,IssuedAmount,TotalDue,Payment
20653980,1,137272,1,TDOTUK 3-50,External Collections,06/05/2025,Partially Paid,17/06/2022,04/03/2025,£500,£58,£942
20087118,1,105339,1,SmartPing 2-75,External Collections – Payment Plan,06/05/2025,Payment Plan,28/01/2022,06/05/2025,£500,£59,£941
21769676,1,766973,1,TDOTUK 10,Funds Sent,26/02/2025,Paying,26/02/2025,16/05/2025,"£1,000",£701,£934
24823746,1,757483,1,TDOTUK 5-85,Funds Sent,13/02/2025,Paying,13/02/2025,28/05/2025,"£1,000",£769,£933
24688959,1,741764,2,Repeat,Funds Sent,24/01/2025,Paying,24/01/2025,23/05/2025,£700,£360,£933
20983991,1,171199,1,TDOTUK 8-50,Debt Management Plan,19/10/2023,Payment Plan DMP/IVA,21/09/2022,13/05/2025,£500,£24,£933
21044762,1,206794,1,Nouveau 3-15,External Collections – Payment Plan,31/03/2025,Payment Plan,16/12/2022,29/05/2025,£500,£67,£933
24299353,1,718786,2,Repeat,Funds Sent,28/12/2024,Paying,28/12/2024,23/05/2025,£600,£164,£932
25194669,1,628505,1,Flux CPF,Collections,04/06/2025,Partially Paid,07/09/2024,02/05/2025,£500,£71,£929
20744720,1,722312,1,Cozi 1-80,Funds Sent,01/01/2025,Paying,01/01/2025,21/05/2025,£600,£169,£928
22978320,1,442895,1,Nouveau 3-15,Payment Plan,16/05/2025,Payment Plan,09/01/2024,20/05/2025,£500,£72,£928
20216674,1,175751,1,Monevo 5,External Collections – Payment Plan,02/12/2024,Payment Plan,06/10/2022,29/05/2025,£500,£77,£923
21604129,1,415924,1,LeadAffinity 3-10,External Collections,10/04/2025,Partially Paid,03/12/2023,05/02/2025,£600,£277,£923
25858391,1,724691,1,TDOTUK 10,Funds Sent,03/01/2025,Paying,03/01/2025,30/05/2025,£600,£217,£922
21129737,1,429712,2,TDOTUK 3-50,Payment Plan,05/06/2025,Payment Plan,21/12/2023,07/04/2025,£600,£279,£921
25092886,1,717928,2,Repeat,Funds Sent,27/12/2024,Paying,27/12/2024,27/05/2025,£550,£148,£921
22305184,1,656086,3,Repeat,Payment Plan,23/04/2025,Payment Plan,11/10/2024,15/05/2025,£500,£80,£920
21019890,1,174934,1,TDOTUK 8,Debt Management Plan,22/03/2023,Payment Plan DMP/IVA,04/10/2022,05/06/2025,£600,£266,£918
25285883,1,630243,1,Cozi 1-80,External Collections – Payment Plan,03/06/2025,Payment Plan,09/09/2024,03/06/2025,£500,£262,£916
21645796,1,275775,1,StopGo 6-20,Debt Management Plan,21/09/2023,Payment Plan DMP/IVA,07/05/2023,09/05/2025,£500,£19,£913
21703045,1,376208,2,Repeat,Payment Plan,22/04/2025,Payment Plan,04/10/2023,31/05/2025,£500,£88,£912
21839488,1,297546,1,MediaBlanket 1,Debt Management Plan,15/01/2024,Payment Plan DMP/IVA,12/06/2023,09/05/2025,£500,£88,£912
20162170,1,218920,1,Flux CPF,External Collections,10/04/2025,Partially Paid,16/01/2023,05/07/2023,£500,£89,£911
22159134,1,337156,1,Flux CPF,External Collections – Expired,24/03/2025,Partially Paid,07/08/2023,28/03/2024,£500,£90,£910
23727290,1,540586,1,TDOTUK 9,Payment Plan,23/12/2024,Payment Plan,26/05/2024,15/05/2025,£400,£96,£904
10141106,1,655344,1,TDOTUK 9,Payment Plan,28/03/2025,Payment Plan,10/10/2024,30/05/2025,£500,£96,£904
